peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
8.24,890176.7609503542,1005861.0987234177,1223120.840397167,1023144.9653333324,1314234.0181560249,1324433.875829791,896117.3573049643,1151872.1277517825,1033067.2053333329,1530620.4359077953,2048707.5493333905,1993151.181638288,1209026.8038156037,1541585.5272198906,1435915.1346524833,1178243.4087943223,1578864.4780851007,1460916.4106737755,594704.9088865285,783299.7673333333,760354.1074468102,567358.9100567411,754846.7355461001,767215.7266312067,541086.9090496465,746673.6637163161,736383.784815607,911038.0596595732,1272779.3792198596,1440106.2363546104,1348396.1219716666,1639223.3567376246,1614812.539560299,1214531.7546099415,1509433.3763333354,1384750.8648297857
8.29,535475.0506666623,531474.8220992918,725680.1786666648,500911.9626666668,622145.2266241147,700788.9229219966,494101.3005390062,695898.4986666618,661950.2312127647,553672.1724609935,689201.4072482361,738544.9819361701,497060.0403262401,661435.0862765943,684643.6902482301,523133.44234042335,761302.5256950349,767162.5493333284,518705.6421985883,672080.2728368792,669614.1333333377,408865.2850070939,557648.0056737593,582650.2879999996,419124.7173333352,568086.5871914872,592134.0989361705,480459.70892198366,571296.549333332,696237.7866666648,516259.0468652456,655448.5315744638,655417.5483475124,491322.96236170793,683647.7080000029,701396.3887943233
8.42,1062649.375999994,992346.0650212864,1382965.1104113392,970101.6240000047,1078200.4580992963,1352896.6675461319,967381.3353333288,1323675.4666666673,1385892.5706666885,1774093.432510642,2272354.255978817,2275073.5114184343,1447252.9694751953,1911642.057929099,2030776.520000071,1142016.3031631242,1708409.9200000437,1766828.6133333333,391607.67200000054,519943.6106241128,502732.12266666617,355564.86243262497,498585.578666666,515405.74602836877,363372.4430709217,508010.517375887,519917.4875035473,1235399.3030070893,1513624.5573333267,1815276.2346666611,1329995.626439723,1398827.5750567494,1655580.2693333256,1320693.4659220078,1869933.891560316,1971809.7040851004
8.63,39881632.490325026,38233492.12885128,51675936.14699186,36377423.614247434,38205603.03989968,50341866.82100524,34676029.80097823,43228541.36223455,47712008.34517604,39262980.19508392,49466707.86258015,49869569.354355775,31050399.36955155,39710117.643184975,41759989.6370765,28506462.984000456,40802048.8053598,41055074.11032685,25344407.624163046,35693936.55808502,35136938.2296034,29158398.790183604,39012511.63565164,41102710.897582956,28532486.70367332,36863099.75503653,37926566.479951106,32440207.083425794,38492390.8235385,47612842.502240025,36605935.75460362,39125252.49717643,45820938.35370416,37711700.48450943,50984036.98055066,53430159.07734803
8.86,38254883.534503035,32848794.746375535,38019281.85529022,35226645.26392789,31356216.7690206,38219692.72562309,30821836.10099904,36673677.14662375,34042267.021502435,34916206.03997144,42657542.62428387,36253174.597516924,31957240.679559357,29017776.594311867,34475957.9702901,39743370.522148356,50590979.72424116,46372950.376737125,29657952.1230504,35053241.03436092,30962825.415048882,28563792.790085394,33816860.96794256,32334828.3778292,28987729.536652062,32821222.846900776,29390974.80544705,30465370.747658852,30564937.971446317,32312503.03126206,33681379.6312621,31822844.10207809,31499748.59826909,32226222.8839647,39330681.19070884,38099858.803984925
9.01,2352802.501333318,2292448.111120593,3229956.2500780206,2172141.394666704,2307290.532588655,3365742.1760000656,2136410.252971626,2678633.621333344,3087049.637333334,2326988.1040141736,3019453.40904964,3131498.0613334146,2220561.047907778,2266485.300368806,3158442.346666665,2242949.6925957603,3409520.578666606,3427040.783347543,2057131.1279999686,2893215.085602822,2824990.5573333683,2002830.7070921576,2636451.072,2933196.953773086,2132382.177971621,2867129.1866666554,2974424.770212763,2112509.1120000104,2474013.689631212,3243410.4240000807,2218192.4026099597,2373659.7078652615,2987662.7413333724,2123262.545404243,3062177.4213333214,3261510.517134801
9.05,2314209.674212677,3576118.5413332293,6061472.64533306,2752972.485957354,4527748.645829617,6508219.9385813745,2830719.1573332166,4193081.0951630003,5641841.636609711,1926109.3247375374,3353262.755092181,4132876.4947303766,1866134.9281630632,2347907.4853332834,3605755.4789644433,2491863.8711063038,4662231.628992755,5280230.785999851,822756.413524796,1129194.2773333208,1060581.8059999915,848895.3104680489,1028422.1752907517,1237784.626666654,986070.9226666546,1211715.9126382733,1343337.4319999714,2288315.6434892807,5960907.605056468,9044424.286630794,1986701.1599999587,2982275.1999999285,3993123.24963107,2337767.410709227,4182018.0125530427,5173483.661893414
9.2,1853259.6434893424,2162868.6541205565,2429739.3879574337,1703486.494439702,2154552.8690638044,2360144.6760141747,1700325.3938013932,1787405.1512624123,2343481.802751743,1778971.9866099053,2305182.5393617097,2300659.2491914686,1686994.2205389836,1673886.6008156007,2257010.160616995,1693130.7420567134,2490575.15737585,2425560.115063832,1692804.2438013973,2330650.6332765575,2261381.246971619,1767782.692113448,1838134.1234325888,2503735.0414184337,1948056.0607872272,2668234.61869505,2716863.026290779,1600021.7586595558,1920484.366446798,2325203.4147730446,1726650.1644184503,1804610.8317446925,2138814.4796808586,1632724.739475172,2277881.612695007,2379443.5670354404
9.25,747896.106666675,853954.7835177543,972267.5363404226,683943.3588936153,893809.5439148911,933443.2240000002,735555.7526595724,788459.8186666742,979521.5573333299,728980.9676312006,900175.4190141853,959131.7706666728,720838.4796099248,707635.0625532122,953277.6670709215,780511.4310354573,1114501.4957304948,1114260.0668014332,637785.592056749,845916.9805744652,845873.2907517746,661046.4576879439,693546.4415602814,947368.1941843999,804915.9943333291,1065674.4693333432,1115983.0258723598,661620.9173333381,773838.9920000066,949253.364893622,724020.6942837056,910289.5551844208,889376.4781134826,690662.4826383026,945118.7402482267,994493.2175886635
9.35,2768406.6909006657,3514903.235460912,3842784.237744617,2561096.735872374,3302028.412992915,3492127.428262383,2802052.950085021,2965924.205106315,3475284.1040000115,2818514.6239999738,3777726.0319999717,3816983.9504255606,2748544.1935318634,2850426.1949219024,3618844.0131701953,1921764.6473475043,2436246.7999999686,2362534.5446524685,2734218.6257304894,3872648.5284963977,3910155.4556169966,2703784.2143191495,2919005.22133332,3715546.2040708647,2783036.8883970743,3574752.5238438975,3596890.2762836004,2463850.311148891,3232385.6035743863,3728650.7014183607,2853611.8291063085,3759503.68734742,3635393.5156027935,2752099.30174466,3655061.5491630575,3840347.45510635
